row_id,family,decade_exponent,n,p_n
dense_local_window__k15__middle__offset+131,dense_local_window,15,500000000000131,18205684894354567
dense_local_window__k15__middle__offset+132,dense_local_window,15,500000000000132,18205684894354577
dense_local_window__k15__middle__offset+133,dense_local_window,15,500000000000133,18205684894354597
dense_local_window__k15__middle__offset+134,dense_local_window,15,500000000000134,18205684894354627
dense_local_window__k15__middle__offset+135,dense_local_window,15,500000000000135,18205684894354667
dense_local_window__k15__middle__offset+136,dense_local_window,15,500000000000136,18205684894354687
dense_local_window__k15__middle__offset+137,dense_local_window,15,500000000000137,18205684894354723
dense_local_window__k15__middle__offset+138,dense_local_window,15,500000000000138,18205684894354861
dense_local_window__k15__middle__offset+139,dense_local_window,15,500000000000139,18205684894354871
dense_local_window__k15__middle__offset+140,dense_local_window,15,500000000000140,18205684894354873
dense_local_window__k15__middle__offset+141,dense_local_window,15,500000000000141,18205684894354891
dense_local_window__k15__middle__offset+142,dense_local_window,15,500000000000142,18205684894354957
dense_local_window__k15__middle__offset+143,dense_local_window,15,500000000000143,18205684894354963
dense_local_window__k15__middle__offset+144,dense_local_window,15,500000000000144,18205684894355053
dense_local_window__k15__middle__offset+145,dense_local_window,15,500000000000145,18205684894355071
dense_local_window__k15__middle__offset+146,dense_local_window,15,500000000000146,18205684894355137
dense_local_window__k15__middle__offset+147,dense_local_window,15,500000000000147,18205684894355183
dense_local_window__k15__middle__offset+148,dense_local_window,15,500000000000148,18205684894355213
dense_local_window__k15__middle__offset+149,dense_local_window,15,500000000000149,18205684894355227
dense_local_window__k15__middle__offset+150,dense_local_window,15,500000000000150,18205684894355303
dense_local_window__k15__middle__offset+151,dense_local_window,15,500000000000151,18205684894355333
dense_local_window__k15__middle__offset+152,dense_local_window,15,500000000000152,18205684894355449
dense_local_window__k15__middle__offset+153,dense_local_window,15,500000000000153,18205684894355467
dense_local_window__k15__middle__offset+154,dense_local_window,15,500000000000154,18205684894355501
dense_local_window__k15__middle__offset+155,dense_local_window,15,500000000000155,18205684894355503
dense_local_window__k15__middle__offset+156,dense_local_window,15,500000000000156,18205684894355509
dense_local_window__k15__middle__offset+157,dense_local_window,15,500000000000157,18205684894355611
dense_local_window__k15__middle__offset+158,dense_local_window,15,500000000000158,18205684894355689
dense_local_window__k15__middle__offset+159,dense_local_window,15,500000000000159,18205684894355713
dense_local_window__k15__middle__offset+160,dense_local_window,15,500000000000160,18205684894355851
dense_local_window__k15__middle__offset+161,dense_local_window,15,500000000000161,18205684894355879
dense_local_window__k15__middle__offset+162,dense_local_window,15,500000000000162,18205684894355897
dense_local_window__k15__middle__offset+163,dense_local_window,15,500000000000163,18205684894355923
dense_local_window__k15__middle__offset+164,dense_local_window,15,500000000000164,18205684894355929
dense_local_window__k15__middle__offset+165,dense_local_window,15,500000000000165,18205684894355951
dense_local_window__k15__middle__offset+166,dense_local_window,15,500000000000166,18205684894355963
dense_local_window__k15__middle__offset+167,dense_local_window,15,500000000000167,18205684894355993
dense_local_window__k15__middle__offset+168,dense_local_window,15,500000000000168,18205684894356019
dense_local_window__k15__middle__offset+169,dense_local_window,15,500000000000169,18205684894356059
dense_local_window__k15__middle__offset+170,dense_local_window,15,500000000000170,18205684894356061
dense_local_window__k15__middle__offset+171,dense_local_window,15,500000000000171,18205684894356139
dense_local_window__k15__middle__offset+172,dense_local_window,15,500000000000172,18205684894356233
dense_local_window__k15__middle__offset+173,dense_local_window,15,500000000000173,18205684894356251
dense_local_window__k15__middle__offset+174,dense_local_window,15,500000000000174,18205684894356317
dense_local_window__k15__middle__offset+175,dense_local_window,15,500000000000175,18205684894356319
dense_local_window__k15__middle__offset+176,dense_local_window,15,500000000000176,18205684894356329
dense_local_window__k15__middle__offset+177,dense_local_window,15,500000000000177,18205684894356391
dense_local_window__k15__middle__offset+178,dense_local_window,15,500000000000178,18205684894356409
dense_local_window__k15__middle__offset+179,dense_local_window,15,500000000000179,18205684894356461
dense_local_window__k15__middle__offset+180,dense_local_window,15,500000000000180,18205684894356467
dense_local_window__k15__middle__offset+181,dense_local_window,15,500000000000181,18205684894356473
dense_local_window__k15__middle__offset+182,dense_local_window,15,500000000000182,18205684894356497
dense_local_window__k15__middle__offset+183,dense_local_window,15,500000000000183,18205684894356697
dense_local_window__k15__middle__offset+184,dense_local_window,15,500000000000184,18205684894356709
dense_local_window__k15__middle__offset+185,dense_local_window,15,500000000000185,18205684894356811
dense_local_window__k15__middle__offset+186,dense_local_window,15,500000000000186,18205684894356889
dense_local_window__k15__middle__offset+187,dense_local_window,15,500000000000187,18205684894356917
dense_local_window__k15__middle__offset+188,dense_local_window,15,500000000000188,18205684894356937
dense_local_window__k15__middle__offset+189,dense_local_window,15,500000000000189,18205684894356991
dense_local_window__k15__middle__offset+190,dense_local_window,15,500000000000190,18205684894357001
dense_local_window__k15__middle__offset+191,dense_local_window,15,500000000000191,18205684894357067
dense_local_window__k15__middle__offset+192,dense_local_window,15,500000000000192,18205684894357133
dense_local_window__k15__middle__offset+193,dense_local_window,15,500000000000193,18205684894357153
dense_local_window__k15__middle__offset+194,dense_local_window,15,500000000000194,18205684894357193
dense_local_window__k15__middle__offset+195,dense_local_window,15,500000000000195,18205684894357199
dense_local_window__k15__middle__offset+196,dense_local_window,15,500000000000196,18205684894357249
dense_local_window__k15__middle__offset+197,dense_local_window,15,500000000000197,18205684894357291
dense_local_window__k15__middle__offset+198,dense_local_window,15,500000000000198,18205684894357307
dense_local_window__k15__middle__offset+199,dense_local_window,15,500000000000199,18205684894357319
dense_local_window__k15__middle__offset+200,dense_local_window,15,500000000000200,18205684894357327
dense_local_window__k15__middle__offset+201,dense_local_window,15,500000000000201,18205684894357381
dense_local_window__k15__middle__offset+202,dense_local_window,15,500000000000202,18205684894357397
dense_local_window__k15__middle__offset+203,dense_local_window,15,500000000000203,18205684894357399
dense_local_window__k15__middle__offset+204,dense_local_window,15,500000000000204,18205684894357483
dense_local_window__k15__middle__offset+205,dense_local_window,15,500000000000205,18205684894357523
dense_local_window__k15__middle__offset+206,dense_local_window,15,500000000000206,18205684894357573
dense_local_window__k15__middle__offset+207,dense_local_window,15,500000000000207,18205684894357591
dense_local_window__k15__middle__offset+208,dense_local_window,15,500000000000208,18205684894357613
dense_local_window__k15__middle__offset+209,dense_local_window,15,500000000000209,18205684894357657
dense_local_window__k15__middle__offset+210,dense_local_window,15,500000000000210,18205684894357669
dense_local_window__k15__middle__offset+211,dense_local_window,15,500000000000211,18205684894357687
dense_local_window__k15__middle__offset+212,dense_local_window,15,500000000000212,18205684894357693
dense_local_window__k15__middle__offset+213,dense_local_window,15,500000000000213,18205684894357769
dense_local_window__k15__middle__offset+214,dense_local_window,15,500000000000214,18205684894357781
dense_local_window__k15__middle__offset+215,dense_local_window,15,500000000000215,18205684894357837
dense_local_window__k15__middle__offset+216,dense_local_window,15,500000000000216,18205684894357897
dense_local_window__k15__middle__offset+217,dense_local_window,15,500000000000217,18205684894357901
dense_local_window__k15__middle__offset+218,dense_local_window,15,500000000000218,18205684894357907
dense_local_window__k15__middle__offset+219,dense_local_window,15,500000000000219,18205684894357921
dense_local_window__k15__middle__offset+220,dense_local_window,15,500000000000220,18205684894357927
dense_local_window__k15__middle__offset+221,dense_local_window,15,500000000000221,18205684894357997
dense_local_window__k15__middle__offset+222,dense_local_window,15,500000000000222,18205684894358021
dense_local_window__k15__middle__offset+223,dense_local_window,15,500000000000223,18205684894358057
dense_local_window__k15__middle__offset+224,dense_local_window,15,500000000000224,18205684894358231
dense_local_window__k15__middle__offset+225,dense_local_window,15,500000000000225,18205684894358233
dense_local_window__k15__middle__offset+226,dense_local_window,15,500000000000226,18205684894358237
dense_local_window__k15__middle__offset+227,dense_local_window,15,500000000000227,18205684894358249
dense_local_window__k15__middle__offset+228,dense_local_window,15,500000000000228,18205684894358257
dense_local_window__k15__middle__offset+229,dense_local_window,15,500000000000229,18205684894358261
dense_local_window__k15__middle__offset+230,dense_local_window,15,500000000000230,18205684894358321
dense_local_window__k15__middle__offset+231,dense_local_window,15,500000000000231,18205684894358341
dense_local_window__k15__middle__offset+232,dense_local_window,15,500000000000232,18205684894358371
dense_local_window__k15__middle__offset+233,dense_local_window,15,500000000000233,18205684894358491
dense_local_window__k15__middle__offset+234,dense_local_window,15,500000000000234,18205684894358513
dense_local_window__k15__middle__offset+235,dense_local_window,15,500000000000235,18205684894358527
dense_local_window__k15__middle__offset+236,dense_local_window,15,500000000000236,18205684894358531
dense_local_window__k15__middle__offset+237,dense_local_window,15,500000000000237,18205684894358551
dense_local_window__k15__middle__offset+238,dense_local_window,15,500000000000238,18205684894358573
dense_local_window__k15__middle__offset+239,dense_local_window,15,500000000000239,18205684894358597
dense_local_window__k15__middle__offset+240,dense_local_window,15,500000000000240,18205684894358629
dense_local_window__k15__middle__offset+241,dense_local_window,15,500000000000241,18205684894358779
dense_local_window__k15__middle__offset+242,dense_local_window,15,500000000000242,18205684894358869
dense_local_window__k15__middle__offset+243,dense_local_window,15,500000000000243,18205684894358879
dense_local_window__k15__middle__offset+244,dense_local_window,15,500000000000244,18205684894358909
dense_local_window__k15__middle__offset+245,dense_local_window,15,500000000000245,18205684894358921
dense_local_window__k15__middle__offset+246,dense_local_window,15,500000000000246,18205684894358933
dense_local_window__k15__middle__offset+247,dense_local_window,15,500000000000247,18205684894358963
dense_local_window__k15__middle__offset+248,dense_local_window,15,500000000000248,18205684894358977
dense_local_window__k15__middle__offset+249,dense_local_window,15,500000000000249,18205684894359013
dense_local_window__k15__middle__offset+250,dense_local_window,15,500000000000250,18205684894359041
dense_local_window__k15__middle__offset+251,dense_local_window,15,500000000000251,18205684894359091
dense_local_window__k15__middle__offset+252,dense_local_window,15,500000000000252,18205684894359119
dense_local_window__k15__middle__offset+253,dense_local_window,15,500000000000253,18205684894359121
dense_local_window__k15__middle__offset+254,dense_local_window,15,500000000000254,18205684894359161
dense_local_window__k15__middle__offset+255,dense_local_window,15,500000000000255,18205684894359187
dense_local_window__k15__middle__offset+256,dense_local_window,15,500000000000256,18205684894359197
dense_local_window__k15__middle__offset+257,dense_local_window,15,500000000000257,18205684894359217
dense_local_window__k15__middle__offset+258,dense_local_window,15,500000000000258,18205684894359227
dense_local_window__k15__middle__offset+259,dense_local_window,15,500000000000259,18205684894359253
dense_local_window__k15__middle__offset+260,dense_local_window,15,500000000000260,18205684894359343
dense_local_window__k15__middle__offset+261,dense_local_window,15,500000000000261,18205684894359367
dense_local_window__k15__middle__offset+262,dense_local_window,15,500000000000262,18205684894359401
dense_local_window__k15__middle__offset+263,dense_local_window,15,500000000000263,18205684894359433
dense_local_window__k15__middle__offset+264,dense_local_window,15,500000000000264,18205684894359461
dense_local_window__k15__middle__offset+265,dense_local_window,15,500000000000265,18205684894359481
dense_local_window__k15__middle__offset+266,dense_local_window,15,500000000000266,18205684894359511
dense_local_window__k15__middle__offset+267,dense_local_window,15,500000000000267,18205684894359517
dense_local_window__k15__middle__offset+268,dense_local_window,15,500000000000268,18205684894359593
dense_local_window__k15__middle__offset+269,dense_local_window,15,500000000000269,18205684894359659
dense_local_window__k15__middle__offset+270,dense_local_window,15,500000000000270,18205684894359667
dense_local_window__k15__middle__offset+271,dense_local_window,15,500000000000271,18205684894359673
dense_local_window__k15__middle__offset+272,dense_local_window,15,500000000000272,18205684894359707
dense_local_window__k15__middle__offset+273,dense_local_window,15,500000000000273,18205684894359757
dense_local_window__k15__middle__offset+274,dense_local_window,15,500000000000274,18205684894359761
dense_local_window__k15__middle__offset+275,dense_local_window,15,500000000000275,18205684894359773
dense_local_window__k15__middle__offset+276,dense_local_window,15,500000000000276,18205684894359791
dense_local_window__k15__middle__offset+277,dense_local_window,15,500000000000277,18205684894359811
dense_local_window__k15__middle__offset+278,dense_local_window,15,500000000000278,18205684894359827
dense_local_window__k15__middle__offset+279,dense_local_window,15,500000000000279,18205684894359899
dense_local_window__k15__middle__offset+280,dense_local_window,15,500000000000280,18205684894359943
dense_local_window__k15__middle__offset+281,dense_local_window,15,500000000000281,18205684894359953
dense_local_window__k15__middle__offset+282,dense_local_window,15,500000000000282,18205684894359959
dense_local_window__k15__middle__offset+283,dense_local_window,15,500000000000283,18205684894360003
dense_local_window__k15__middle__offset+284,dense_local_window,15,500000000000284,18205684894360039
dense_local_window__k15__middle__offset+285,dense_local_window,15,500000000000285,18205684894360091
dense_local_window__k15__middle__offset+286,dense_local_window,15,500000000000286,18205684894360147
dense_local_window__k15__middle__offset+287,dense_local_window,15,500000000000287,18205684894360163
dense_local_window__k15__middle__offset+288,dense_local_window,15,500000000000288,18205684894360181
dense_local_window__k15__middle__offset+289,dense_local_window,15,500000000000289,18205684894360193
dense_local_window__k15__middle__offset+290,dense_local_window,15,500000000000290,18205684894360273
dense_local_window__k15__middle__offset+291,dense_local_window,15,500000000000291,18205684894360363
dense_local_window__k15__middle__offset+292,dense_local_window,15,500000000000292,18205684894360387
dense_local_window__k15__middle__offset+293,dense_local_window,15,500000000000293,18205684894360409
dense_local_window__k15__middle__offset+294,dense_local_window,15,500000000000294,18205684894360541
dense_local_window__k15__middle__offset+295,dense_local_window,15,500000000000295,18205684894360547
dense_local_window__k15__middle__offset+296,dense_local_window,15,500000000000296,18205684894360549
dense_local_window__k15__middle__offset+297,dense_local_window,15,500000000000297,18205684894360571
dense_local_window__k15__middle__offset+298,dense_local_window,15,500000000000298,18205684894360589
dense_local_window__k15__middle__offset+299,dense_local_window,15,500000000000299,18205684894360619
dense_local_window__k15__middle__offset+300,dense_local_window,15,500000000000300,18205684894360837
dense_local_window__k15__middle__offset+301,dense_local_window,15,500000000000301,18205684894360883
dense_local_window__k15__middle__offset+302,dense_local_window,15,500000000000302,18205684894360927
dense_local_window__k15__middle__offset+303,dense_local_window,15,500000000000303,18205684894360973
dense_local_window__k15__middle__offset+304,dense_local_window,15,500000000000304,18205684894360991
dense_local_window__k15__middle__offset+305,dense_local_window,15,500000000000305,18205684894361017
dense_local_window__k15__middle__offset+306,dense_local_window,15,500000000000306,18205684894361047
dense_local_window__k15__middle__offset+307,dense_local_window,15,500000000000307,18205684894361113
dense_local_window__k15__middle__offset+308,dense_local_window,15,500000000000308,18205684894361183
dense_local_window__k15__middle__offset+309,dense_local_window,15,500000000000309,18205684894361191
dense_local_window__k15__middle__offset+310,dense_local_window,15,500000000000310,18205684894361221
dense_local_window__k15__middle__offset+311,dense_local_window,15,500000000000311,18205684894361231
dense_local_window__k15__middle__offset+312,dense_local_window,15,500000000000312,18205684894361233
dense_local_window__k15__middle__offset+313,dense_local_window,15,500000000000313,18205684894361303
dense_local_window__k15__middle__offset+314,dense_local_window,15,500000000000314,18205684894361309
dense_local_window__k15__middle__offset+315,dense_local_window,15,500000000000315,18205684894361353
dense_local_window__k15__middle__offset+316,dense_local_window,15,500000000000316,18205684894361357
dense_local_window__k15__middle__offset+317,dense_local_window,15,500000000000317,18205684894361399
dense_local_window__k15__middle__offset+318,dense_local_window,15,500000000000318,18205684894361411
dense_local_window__k15__middle__offset+319,dense_local_window,15,500000000000319,18205684894361417
dense_local_window__k15__middle__offset+320,dense_local_window,15,500000000000320,18205684894361509
dense_local_window__k15__middle__offset+321,dense_local_window,15,500000000000321,18205684894361581
dense_local_window__k15__middle__offset+322,dense_local_window,15,500000000000322,18205684894361593
dense_local_window__k15__middle__offset+323,dense_local_window,15,500000000000323,18205684894361597
dense_local_window__k15__middle__offset+324,dense_local_window,15,500000000000324,18205684894361609
dense_local_window__k15__middle__offset+325,dense_local_window,15,500000000000325,18205684894361677
dense_local_window__k15__middle__offset+326,dense_local_window,15,500000000000326,18205684894361683
dense_local_window__k15__middle__offset+327,dense_local_window,15,500000000000327,18205684894361717
dense_local_window__k15__middle__offset+328,dense_local_window,15,500000000000328,18205684894361803
dense_local_window__k15__middle__offset+329,dense_local_window,15,500000000000329,18205684894361843
dense_local_window__k15__middle__offset+330,dense_local_window,15,500000000000330,18205684894361879
dense_local_window__k15__middle__offset+331,dense_local_window,15,500000000000331,18205684894361963
dense_local_window__k15__middle__offset+332,dense_local_window,15,500000000000332,18205684894361971
dense_local_window__k15__middle__offset+333,dense_local_window,15,500000000000333,18205684894362029
dense_local_window__k15__middle__offset+334,dense_local_window,15,500000000000334,18205684894362143
dense_local_window__k15__middle__offset+335,dense_local_window,15,500000000000335,18205684894362151
dense_local_window__k15__middle__offset+336,dense_local_window,15,500000000000336,18205684894362157
dense_local_window__k15__middle__offset+337,dense_local_window,15,500000000000337,18205684894362169
dense_local_window__k15__middle__offset+338,dense_local_window,15,500000000000338,18205684894362233
dense_local_window__k15__middle__offset+339,dense_local_window,15,500000000000339,18205684894362247
dense_local_window__k15__middle__offset+340,dense_local_window,15,500000000000340,18205684894362293
dense_local_window__k15__middle__offset+341,dense_local_window,15,500000000000341,18205684894362307
dense_local_window__k15__middle__offset+342,dense_local_window,15,500000000000342,18205684894362341
dense_local_window__k15__middle__offset+343,dense_local_window,15,500000000000343,18205684894362359
dense_local_window__k15__middle__offset+344,dense_local_window,15,500000000000344,18205684894362391
dense_local_window__k15__middle__offset+345,dense_local_window,15,500000000000345,18205684894362437
dense_local_window__k15__middle__offset+346,dense_local_window,15,500000000000346,18205684894362463
dense_local_window__k15__middle__offset+347,dense_local_window,15,500000000000347,18205684894362503
