row_id,family,decade_exponent,n,p_n
dense_local_window__k17__middle__offset+199,dense_local_window,17,50000000000000199,2056949323753793041
dense_local_window__k17__middle__offset+200,dense_local_window,17,50000000000000200,2056949323753793041
dense_local_window__k17__middle__offset+201,dense_local_window,17,50000000000000201,2056949323753793041
dense_local_window__k17__middle__offset+202,dense_local_window,17,50000000000000202,2056949323753793167
dense_local_window__k17__middle__offset+203,dense_local_window,17,50000000000000203,2056949323753793167
dense_local_window__k17__middle__offset+204,dense_local_window,17,50000000000000204,2056949323753793167
dense_local_window__k17__middle__offset+205,dense_local_window,17,50000000000000205,2056949323753793237
dense_local_window__k17__middle__offset+206,dense_local_window,17,50000000000000206,2056949323753793237
dense_local_window__k17__middle__offset+207,dense_local_window,17,50000000000000207,2056949323753793389
dense_local_window__k17__middle__offset+208,dense_local_window,17,50000000000000208,2056949323753793389
dense_local_window__k17__middle__offset+209,dense_local_window,17,50000000000000209,2056949323753793389
dense_local_window__k17__middle__offset+210,dense_local_window,17,50000000000000210,2056949323753793389
dense_local_window__k17__middle__offset+211,dense_local_window,17,50000000000000211,2056949323753793429
dense_local_window__k17__middle__offset+212,dense_local_window,17,50000000000000212,2056949323753793467
dense_local_window__k17__middle__offset+213,dense_local_window,17,50000000000000213,2056949323753793597
dense_local_window__k17__middle__offset+214,dense_local_window,17,50000000000000214,2056949323753793597
dense_local_window__k17__middle__offset+215,dense_local_window,17,50000000000000215,2056949323753793597
dense_local_window__k17__middle__offset+216,dense_local_window,17,50000000000000216,2056949323753793647
dense_local_window__k17__middle__offset+217,dense_local_window,17,50000000000000217,2056949323753793731
dense_local_window__k17__middle__offset+218,dense_local_window,17,50000000000000218,2056949323753793731
dense_local_window__k17__middle__offset+219,dense_local_window,17,50000000000000219,2056949323753793759
dense_local_window__k17__middle__offset+220,dense_local_window,17,50000000000000220,2056949323753793803
dense_local_window__k17__middle__offset+221,dense_local_window,17,50000000000000221,2056949323753793863
dense_local_window__k17__middle__offset+222,dense_local_window,17,50000000000000222,2056949323753793933
dense_local_window__k17__middle__offset+223,dense_local_window,17,50000000000000223,2056949323753793933
dense_local_window__k17__middle__offset+224,dense_local_window,17,50000000000000224,2056949323753793999
dense_local_window__k17__middle__offset+225,dense_local_window,17,50000000000000225,2056949323753794047
dense_local_window__k17__middle__offset+226,dense_local_window,17,50000000000000226,2056949323753794139
dense_local_window__k17__middle__offset+227,dense_local_window,17,50000000000000227,2056949323753794139
dense_local_window__k17__middle__offset+228,dense_local_window,17,50000000000000228,2056949323753794139
dense_local_window__k17__middle__offset+229,dense_local_window,17,50000000000000229,2056949323753794181
dense_local_window__k17__middle__offset+230,dense_local_window,17,50000000000000230,2056949323753794341
dense_local_window__k17__middle__offset+231,dense_local_window,17,50000000000000231,2056949323753794341
dense_local_window__k17__middle__offset+232,dense_local_window,17,50000000000000232,2056949323753794341
dense_local_window__k17__middle__offset+233,dense_local_window,17,50000000000000233,2056949323753794493
dense_local_window__k17__middle__offset+234,dense_local_window,17,50000000000000234,2056949323753794493
dense_local_window__k17__middle__offset+235,dense_local_window,17,50000000000000235,2056949323753794493
dense_local_window__k17__middle__offset+236,dense_local_window,17,50000000000000236,2056949323753794493
dense_local_window__k17__middle__offset+237,dense_local_window,17,50000000000000237,2056949323753794619
dense_local_window__k17__middle__offset+238,dense_local_window,17,50000000000000238,2056949323753794619
dense_local_window__k17__middle__offset+239,dense_local_window,17,50000000000000239,2056949323753794619
dense_local_window__k17__middle__offset+240,dense_local_window,17,50000000000000240,2056949323753794677
dense_local_window__k17__middle__offset+241,dense_local_window,17,50000000000000241,2056949323753794697
dense_local_window__k17__middle__offset+242,dense_local_window,17,50000000000000242,2056949323753794737
dense_local_window__k17__middle__offset+243,dense_local_window,17,50000000000000243,2056949323753794797
dense_local_window__k17__middle__offset+244,dense_local_window,17,50000000000000244,2056949323753794817
dense_local_window__k17__middle__offset+245,dense_local_window,17,50000000000000245,2056949323753794893
dense_local_window__k17__middle__offset+246,dense_local_window,17,50000000000000246,2056949323753794923
dense_local_window__k17__middle__offset+247,dense_local_window,17,50000000000000247,2056949323753794961
dense_local_window__k17__middle__offset+248,dense_local_window,17,50000000000000248,2056949323753794983
dense_local_window__k17__middle__offset+249,dense_local_window,17,50000000000000249,2056949323753795027
dense_local_window__k17__middle__offset+250,dense_local_window,17,50000000000000250,2056949323753795091
dense_local_window__k17__middle__offset+251,dense_local_window,17,50000000000000251,2056949323753795127
dense_local_window__k17__middle__offset+252,dense_local_window,17,50000000000000252,2056949323753795223
dense_local_window__k17__middle__offset+253,dense_local_window,17,50000000000000253,2056949323753795223
dense_local_window__k17__middle__offset+254,dense_local_window,17,50000000000000254,2056949323753795337
dense_local_window__k17__middle__offset+255,dense_local_window,17,50000000000000255,2056949323753795337
dense_local_window__k17__middle__offset+256,dense_local_window,17,50000000000000256,2056949323753795337
dense_local_window__k17__middle__offset+257,dense_local_window,17,50000000000000257,2056949323753795421
dense_local_window__k17__middle__offset+258,dense_local_window,17,50000000000000258,2056949323753795421
dense_local_window__k17__middle__offset+259,dense_local_window,17,50000000000000259,2056949323753795469
dense_local_window__k17__middle__offset+260,dense_local_window,17,50000000000000260,2056949323753795517
dense_local_window__k17__middle__offset+261,dense_local_window,17,50000000000000261,2056949323753795531
dense_local_window__k17__middle__offset+262,dense_local_window,17,50000000000000262,2056949323753795631
dense_local_window__k17__middle__offset+263,dense_local_window,17,50000000000000263,2056949323753795631
dense_local_window__k17__middle__offset+264,dense_local_window,17,50000000000000264,2056949323753795697
dense_local_window__k17__middle__offset+265,dense_local_window,17,50000000000000265,2056949323753795741
dense_local_window__k17__middle__offset+266,dense_local_window,17,50000000000000266,2056949323753795741
dense_local_window__k17__middle__offset+267,dense_local_window,17,50000000000000267,2056949323753795847
dense_local_window__k17__middle__offset+268,dense_local_window,17,50000000000000268,2056949323753795847
dense_local_window__k17__middle__offset+269,dense_local_window,17,50000000000000269,2056949323753795883
dense_local_window__k17__middle__offset+270,dense_local_window,17,50000000000000270,2056949323753795921
dense_local_window__k17__middle__offset+271,dense_local_window,17,50000000000000271,2056949323753795967
dense_local_window__k17__middle__offset+272,dense_local_window,17,50000000000000272,2056949323753796123
dense_local_window__k17__middle__offset+273,dense_local_window,17,50000000000000273,2056949323753796123
dense_local_window__k17__middle__offset+274,dense_local_window,17,50000000000000274,2056949323753796123
dense_local_window__k17__middle__offset+275,dense_local_window,17,50000000000000275,2056949323753796123
dense_local_window__k17__middle__offset+276,dense_local_window,17,50000000000000276,2056949323753796257
dense_local_window__k17__middle__offset+277,dense_local_window,17,50000000000000277,2056949323753796257
dense_local_window__k17__middle__offset+278,dense_local_window,17,50000000000000278,2056949323753796257
dense_local_window__k17__middle__offset+279,dense_local_window,17,50000000000000279,2056949323753796321
dense_local_window__k17__middle__offset+280,dense_local_window,17,50000000000000280,2056949323753796489
dense_local_window__k17__middle__offset+281,dense_local_window,17,50000000000000281,2056949323753796489
dense_local_window__k17__middle__offset+282,dense_local_window,17,50000000000000282,2056949323753796489
dense_local_window__k17__middle__offset+283,dense_local_window,17,50000000000000283,2056949323753796489
dense_local_window__k17__middle__offset+284,dense_local_window,17,50000000000000284,2056949323753796539
dense_local_window__k17__middle__offset+285,dense_local_window,17,50000000000000285,2056949323753796581
dense_local_window__k17__middle__offset+286,dense_local_window,17,50000000000000286,2056949323753796603
dense_local_window__k17__middle__offset+287,dense_local_window,17,50000000000000287,2056949323753796639
dense_local_window__k17__middle__offset+288,dense_local_window,17,50000000000000288,2056949323753796671
dense_local_window__k17__middle__offset+289,dense_local_window,17,50000000000000289,2056949323753796761
dense_local_window__k17__middle__offset+290,dense_local_window,17,50000000000000290,2056949323753796761
dense_local_window__k17__middle__offset+291,dense_local_window,17,50000000000000291,2056949323753796803
dense_local_window__k17__middle__offset+292,dense_local_window,17,50000000000000292,2056949323753796861
dense_local_window__k17__middle__offset+293,dense_local_window,17,50000000000000293,2056949323753796911
dense_local_window__k17__middle__offset+294,dense_local_window,17,50000000000000294,2056949323753797013
dense_local_window__k17__middle__offset+295,dense_local_window,17,50000000000000295,2056949323753797013
dense_local_window__k17__middle__offset+296,dense_local_window,17,50000000000000296,2056949323753797013
dense_local_window__k17__middle__offset+297,dense_local_window,17,50000000000000297,2056949323753797113
dense_local_window__k17__middle__offset+298,dense_local_window,17,50000000000000298,2056949323753797113
dense_local_window__k17__middle__offset+299,dense_local_window,17,50000000000000299,2056949323753797139
dense_local_window__k17__middle__offset+300,dense_local_window,17,50000000000000300,2056949323753797181
dense_local_window__k17__middle__offset+301,dense_local_window,17,50000000000000301,2056949323753797217
dense_local_window__k17__middle__offset+302,dense_local_window,17,50000000000000302,2056949323753797281
dense_local_window__k17__middle__offset+303,dense_local_window,17,50000000000000303,2056949323753797443
dense_local_window__k17__middle__offset+304,dense_local_window,17,50000000000000304,2056949323753797443
dense_local_window__k17__middle__offset+305,dense_local_window,17,50000000000000305,2056949323753797443
dense_local_window__k17__middle__offset+306,dense_local_window,17,50000000000000306,2056949323753797443
dense_local_window__k17__middle__offset+307,dense_local_window,17,50000000000000307,2056949323753797511
dense_local_window__k17__middle__offset+308,dense_local_window,17,50000000000000308,2056949323753797623
dense_local_window__k17__middle__offset+309,dense_local_window,17,50000000000000309,2056949323753797623
dense_local_window__k17__middle__offset+310,dense_local_window,17,50000000000000310,2056949323753797623
dense_local_window__k17__middle__offset+311,dense_local_window,17,50000000000000311,2056949323753797689
dense_local_window__k17__middle__offset+312,dense_local_window,17,50000000000000312,2056949323753797689
dense_local_window__k17__middle__offset+313,dense_local_window,17,50000000000000313,2056949323753797757
dense_local_window__k17__middle__offset+314,dense_local_window,17,50000000000000314,2056949323753797773
dense_local_window__k17__middle__offset+315,dense_local_window,17,50000000000000315,2056949323753797829
dense_local_window__k17__middle__offset+316,dense_local_window,17,50000000000000316,2056949323753797871
dense_local_window__k17__middle__offset+317,dense_local_window,17,50000000000000317,2056949323753797943
dense_local_window__k17__middle__offset+318,dense_local_window,17,50000000000000318,2056949323753797943
dense_local_window__k17__middle__offset+319,dense_local_window,17,50000000000000319,2056949323753798043
dense_local_window__k17__middle__offset+320,dense_local_window,17,50000000000000320,2056949323753798043
dense_local_window__k17__middle__offset+321,dense_local_window,17,50000000000000321,2056949323753798099
dense_local_window__k17__middle__offset+322,dense_local_window,17,50000000000000322,2056949323753798129
dense_local_window__k17__middle__offset+323,dense_local_window,17,50000000000000323,2056949323753798157
dense_local_window__k17__middle__offset+324,dense_local_window,17,50000000000000324,2056949323753798249
dense_local_window__k17__middle__offset+325,dense_local_window,17,50000000000000325,2056949323753798249
dense_local_window__k17__middle__offset+326,dense_local_window,17,50000000000000326,2056949323753798349
dense_local_window__k17__middle__offset+327,dense_local_window,17,50000000000000327,2056949323753798349
dense_local_window__k17__middle__offset+328,dense_local_window,17,50000000000000328,2056949323753798427
dense_local_window__k17__middle__offset+329,dense_local_window,17,50000000000000329,2056949323753798427
dense_local_window__k17__middle__offset+330,dense_local_window,17,50000000000000330,2056949323753798459
